599.7532,0.0214636
600.2354,0.0216875
600.7175,0.0225146
601.1996,0.0239069
601.6817,0.0256036
602.1638,0.0271606
602.6459,0.0281639
603.1281,0.0284805
603.6102,0.0283461
604.0923,0.0281876
604.5744,0.0282921
605.0565,0.0285819
605.5386,0.0286729
606.0208,0.0281728
606.5029,0.0269849
606.985,0.0253874
607.4671,0.0238376
607.9492,0.0226778
608.4313,0.0219893
608.9135,0.0216897
609.3956,0.0217401
609.8777,0.0222276
610.3598,0.0232216
610.8419,0.0245339
611.324,0.025636
611.8062,0.0258916
612.2883,0.0249856
612.7704,0.0232008
613.2525,0.021277
613.7346,0.019948
614.2167,0.0195088
614.6989,0.0196962
615.181,0.0199211
615.6631,0.0196684
616.1452,0.018802
616.6273,0.0176147
617.1094,0.0166247
617.5916,0.0162467
618.0737,0.0165427
618.5558,0.017238
619.0379,0.0179695
619.52,0.0185328
620.0021,0.0189619
620.4843,0.019451
620.9664,0.0201972
621.4485,0.0212358
621.9306,0.0223559
622.4127,0.0231651
622.8948,0.0232881
623.377,0.0225903
623.8591,0.021299
624.3412,0.0199449
624.8233,0.0191372
625.3054,0.0192877
625.7875,0.0204355
626.2697,0.0222492
626.7518,0.0241712
627.2339,0.0256146
627.716,0.026148
628.1981,0.0256303
628.6802,0.0242687
629.1624,0.0225643
629.6445,0.0211406
630.1266,0.0205027
630.6087,0.0208309
631.0908,0.0219067
631.5729,0.0232171
632.0551,0.0241931
632.5372,0.0244685
633.0193,0.0240281
633.5014,0.023174
633.9835,0.0223439
634.4656,0.0218901
634.9478,0.021932
635.4299,0.0223429
635.912,0.0228568
636.3941,0.0232211
636.8762,0.0233094
637.3583,0.0231428
637.8405,0.0228289
638.3226,0.0224669
638.8047,0.0220838
639.2868,0.0216411
639.7689,0.0211048
640.251,0.0205228
640.7332,0.0200452
641.2153,0.0198652
641.6974,0.0201135
642.1795,0.0207747
642.6616,0.0216851
643.1437,0.0226192
643.6259,0.0234077
644.108,0.0240063
644.5901,0.0244757
645.0722,0.0248988
645.5543,0.025298
646.0364,0.0256088
646.5186,0.0257193
647.0007,0.0255389
647.4828,0.0250505
647.9649,0.0243246
648.447,0.023494
648.9291,0.0227027
649.4113,0.0220551
649.8934,0.0215945
650.3755,0.0213177
650.8576,0.0212092
651.3397,0.0212666
651.8218,0.0215101
652.304,0.0219718
652.7861,0.0226678
653.2682,0.0235588
653.7503,0.0245211
654.2324,0.0253554
654.7145,0.025847
655.1967,0.025863
655.6788,0.025435
656.1609,0.0247689
656.643,0.0241568
657.1251,0.0238367
657.6072,0.0238857
658.0894,0.0242084
658.5715,0.0246145
659.0536,0.024929
659.5357,0.0250665
660.0178,0.0250368
660.4999,0.0249031
660.9821,0.024738
661.4642,0.0246038
661.9463,0.0245453
662.4284,0.0245777
662.9105,0.0246668
663.3926,0.0247277
663.8748,0.0246644
664.3569,0.0244337
664.839,0.0240773
665.3211,0.0236909
665.8032,0.0233656
666.2853,0.0231508
666.7675,0.0230374
667.2496,0.0229156
667.7317,0.0224481
668.2138,0.0212143
668.6959,0.019956
669.178,0.0195882
669.6602,0.0197317
670.1423,0.0200424
670.6244,0.0204625
671.1065,0.021026
671.5886,0.0217489
672.0707,0.0225692
672.5529,0.023338
673.035,0.0238865
673.5171,0.0241309
673.9992,0.0241337
674.4813,0.0240673
674.9634,0.0241024
675.4456,0.0242932
675.9277,0.0245384
676.4098,0.0246492
676.8919,0.0244761
677.374,0.0240055
677.8561,0.0233608
678.3383,0.0227169
678.8204,0.0222003
679.3025,0.0218473
679.7846,0.0216371
680.2667,0.0215553
680.7488,0.0216242
681.231,0.0218753
681.7131,0.0222963
682.1952,0.0228049
682.6773,0.0232786
683.1594,0.0236149
683.6415,0.0237773
684.1237,0.0237924
684.6058,0.023713
685.0879,0.0235821
685.57,0.0234255
686.0521,0.0232691
686.5342,0.0231541
687.0164,0.0231294
687.4985,0.0232224
687.9806,0.0234077
688.4627,0.0236012
688.9448,0.0236918
689.4269,0.0235994
689.9091,0.0233293
690.3912,0.0229885
690.8733,0.0227468
691.3554,0.0227555
691.8375,0.0230632
692.3196,0.0235766
692.8018,0.0240969
693.2839,0.0244149
693.766,0.0244141
694.2481,0.0241179
694.7302,0.0236576
695.2123,0.0231917
695.6945,0.0228324
696.1766,0.0226248
696.6587,0.0225721
697.1408,0.0226715
697.6229,0.0229251
698.105,0.0233221
698.5872,0.0238201
699.0693,0.0243474
699.5514,0.0248264
700.0335,0.0251966
700.5156,0.0254222
700.9977,0.0254881
701.4799,0.0254033
701.962,0.0252171
702.4441,0.0250308
702.9262,0.024978
703.4083,0.0251661
703.8904,0.0256106
704.3726,0.0262097
704.8547,0.0267853
705.3368,0.0271718
705.8189,0.0272963
706.301,0.0272025
706.7831,0.027009
707.2653,0.0268378
707.7474,0.0267592
708.2295,0.0267798
708.7116,0.026867
709.1937,0.026984
709.6758,0.0271138
710.158,0.0272619
710.6401,0.0274453
711.1222,0.0276744
711.6043,0.0279371
712.0864,0.0281952
712.5685,0.0283963
713.0507,0.0284993
713.5328,0.0284957
714.0149,0.0284101
714.497,0.0282773
714.9791,0.028118
715.4612,0.0279397
715.9434,0.0277655
716.4255,0.0276583
716.9076,0.0277002
